1709037473853	webdriver::server	DEBUG	<- 500 Internal Server Error {"value":{"error":"unknown error","message":"Failed to decode response from marionette","stacktrace":""}}
1709037474866	webdriver::server	DEBUG	-> POST /session {"capabilities":{"firstMatch":[{}],"alwaysMatch":{"browserName":"firefox","moz:firefoxOptions":{"binary":"/usr/bin/firefox"}}}}
1709037474866	geckodriver::capabilities	DEBUG	Trying to read firefox version from ini files
1709037474868	geckodriver::capabilities	DEBUG	Found version 123.0
1709037474873	mozrunner::runner	INFO	Running command: MOZ_CRASHREPORTER="1" MOZ_CRASHREPORTER_NO_REPORT="1" MOZ_CRASHREPORTER_SHUTDOWN="1" MOZ_NO_REMOTE="1" "/usr/bin/firefox" "--marionette" "-no-remote" "-profile" "/tmp/rust_mozprofile2OrOr5"
1709037474874	geckodriver::marionette	DEBUG	Waiting 60s to connect to browser on 127.0.0.1
1709037474874	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofile2OrOr5/MarionetteActivePort
1709037474874	geckodriver::marionette	TRACE	Retrying in 100ms
1709037474974	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofile2OrOr5/MarionetteActivePort
1709037474974	geckodriver::marionette	TRACE	Retrying in 100ms
1709037475075	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofile2OrOr5/MarionetteActivePort
1709037475075	geckodriver::marionette	TRACE	Retrying in 100ms
console.warn: services.settings: Ignoring preference override of remote settings server
console.warn: services.settings: Allow by setting MOZ_REMOTE_SETTINGS_DEVTOOLS=1 in the environment
1709037475175	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofile2OrOr5/MarionetteActivePort
1709037475175	geckodriver::marionette	TRACE	Retrying in 100ms
1709037475275	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofile2OrOr5/MarionetteActivePort
1709037475275	geckodriver::marionette	TRACE	Retrying in 100ms
1709037475375	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofile2OrOr5/MarionetteActivePort
1709037475375	geckodriver::marionette	TRACE	Retrying in 100ms
1709037475475	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofile2OrOr5/MarionetteActivePort
1709037475475	geckodriver::marionette	TRACE	Retrying in 100ms
1709037475576	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofile2OrOr5/MarionetteActivePort
1709037475576	geckodriver::marionette	TRACE	Retrying in 100ms
1709037475676	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofile2OrOr5/MarionetteActivePort
1709037475676	geckodriver::marionette	TRACE	Retrying in 100ms
1709037475776	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofile2OrOr5/MarionetteActivePort
1709037475776	geckodriver::marionette	TRACE	Retrying in 100ms
1709037475876	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofile2OrOr5/MarionetteActivePort
1709037475876	geckodriver::marionette	TRACE	Retrying in 100ms
1709037475977	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofile2OrOr5/MarionetteActivePort
1709037475977	geckodriver::marionette	TRACE	Retrying in 100ms
1709037476077	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofile2OrOr5/MarionetteActivePort
1709037476077	geckodriver::marionette	TRACE	Retrying in 100ms
1709037476177	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofile2OrOr5/MarionetteActivePort
1709037476177	geckodriver::marionette	TRACE	Retrying in 100ms
1709037476277	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofile2OrOr5/MarionetteActivePort
1709037476277	geckodriver::marionette	TRACE	Retrying in 100ms
1709037476378	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofile2OrOr5/MarionetteActivePort
1709037476378	geckodriver::marionette	TRACE	Retrying in 100ms
1709037476478	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofile2OrOr5/MarionetteActivePort
1709037476478	geckodriver::marionette	TRACE	Retrying in 100ms
1709037476578	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofile2OrOr5/MarionetteActivePort
1709037476578	geckodriver::marionette	TRACE	Retrying in 100ms
1709037476679	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofile2OrOr5/MarionetteActivePort
1709037476679	geckodriver::marionette	TRACE	Retrying in 100ms
1709037476779	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofile2OrOr5/MarionetteActivePort
1709037476779	geckodriver::marionette	TRACE	Retrying in 100ms
1709037476879	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofile2OrOr5/MarionetteActivePort
1709037476879	geckodriver::marionette	TRACE	Retrying in 100ms
1709037476980	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofile2OrOr5/MarionetteActivePort
1709037476980	geckodriver::marionette	TRACE	Retrying in 100ms
1709037477080	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofile2OrOr5/MarionetteActivePort
1709037477080	geckodriver::marionette	TRACE	Retrying in 100ms
1709037477180	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofile2OrOr5/MarionetteActivePort
1709037477180	geckodriver::marionette	TRACE	Retrying in 100ms
1709037477280	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofile2OrOr5/MarionetteActivePort
1709037477280	geckodriver::marionette	TRACE	Retrying in 100ms
1709037477381	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofile2OrOr5/MarionetteActivePort
1709037477381	geckodriver::marionette	TRACE	Retrying in 100ms
1709037477481	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofile2OrOr5/MarionetteActivePort
1709037477481	geckodriver::marionette	TRACE	Retrying in 100ms
